,id,nodes,edges,density,isolated_nodes,core_number,global_cc,approx_avg_local_cc,max_cliques,connected_components,strongly_connected_components,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,avg_shortest_path_length,avg_neighbour_degree,avg_degree_connectivity,degree_centrality_min,degree_centrality_1qr,degree_centrality_median,degree_centrality_3qr,degree_centrality_max,degree_centrality_avg,eigenvector_centrality_min,eigenvector_centrality_1qr,eigenvector_centrality_median,eigenvector_centrality_3qr,eigenvector_centrality_max,eigenvector_centrality_avg,pagerank_min,pagerank_1qr,pagerank_median,pagerank_3qr,pagerank_max,pagerank_avg,betweenness_centrality_min,betweenness_centrality_1qr,betweenness_centrality_median,betweenness_centrality_3qr,betweenness_centrality_max,betweenness_centrality_avg,closeness_centrality_min,closeness_centrality_1qr,closeness_centrality_median,closeness_centrality_3qr,closeness_centrality_max,closeness_centrality_avg,check_planarity,label
0,8619053,78,905,0.3013653013653014,0,22,0.6829406755606018,0.8944184601960479,12,1,1,-0.14213912763697292,-0.14213912763697367,1.6986346986346987,28.997768834692007,27.71893815885342,12.0,17.0,19.0,22.0,63.0,23.205128205128204,0.061600142522233614,0.06192864271222234,0.09561433033504496,0.11911935507141187,0.25157705196927305,0.10348107848517216,0.007630193079886913,0.009827907978618215,0.011062639317069632,0.0117682293507915,0.032025780623562365,0.012820512820512818,0.0,0.0,0.0,0.0,0.12194951889553915,0.008936159054691485,0.0,0.0,0.0,0.0,0.12680704690186023,0.009003500566740836,False,ai
1,8719964,78,1014,0.33766233766233766,0,23,0.6445287405549267,0.8849517735320598,16,1,1,-0.19116510123807873,-0.1911651012380776,1.6623376623376624,34.48455179454429,31.539770255152483,14.0,17.0,22.0,27.5,77.0,26.0,0.055413749358052364,0.06603940875725148,0.1024876852447755,0.1089072799052713,0.24429870219610392,0.10320868832095403,0.007881921790712246,0.009470047828104856,0.01071176766665361,0.013276496981260707,0.035183768442474284,0.012820512820512824,0.0,0.0,0.0,0.0026146980895272536,0.13291962999115423,0.008514827647444673,0.0,0.0,0.0,0.002998187142657917,0.13194347603773085,0.008521978958458768,False,ai
2,8703870,71,932,0.3750503018108652,0,25,0.7148909351913448,0.9021577253622992,7,1,1,-0.12506238857356736,-0.12506238857356788,1.6249496981891347,31.99512180444416,31.053576403242467,15.0,21.0,22.0,29.0,70.0,26.253521126760564,0.040853028392276274,0.08948028940211548,0.09161482254878324,0.13677918387957255,0.23979077026754778,0.10864913112079748,0.009005463525708534,0.011507331315066222,0.011971230076987303,0.014738306302154811,0.03509210819404796,0.014084507042253525,0.0,0.0,0.0,0.0014526100497373687,0.14802677450842075,0.008803062412965574,0.0,0.0,0.0,0.0014642309301352678,0.14767814809648383,0.00879193255568308,False,ai
3,8751867,71,883,0.3553319919517103,0,22,0.6878048780487804,0.8893676567189189,9,1,1,-0.1259854056115,-0.1259854056114989,1.6446680080482898,30.691082612982445,29.434465175543114,14.0,17.0,21.0,26.5,63.0,24.87323943661972,0.051256214916511986,0.053878967998635674,0.10794594254471403,0.11476604284520063,0.23819846140783973,0.10827389023339878,0.009179797185669409,0.011029008309605707,0.011783614836177202,0.014770650766980815,0.03285768906580884,0.014084507042253525,0.0,0.0,0.0,0.0042300004648352305,0.10414633012596045,0.009057412386745047,0.0,0.0,0.0,0.004334588388416322,0.10270534095662118,0.009083272937489673,False,ai
4,8758842,137,1964,0.2108200944611421,0,29,0.5983962453568918,0.8923825241031877,56,2,2,-0.15120845654678822,-0.15120845654678844,1.7964621337755666,42.14713354192034,38.34064593430126,1.0,18.0,25.0,29.0,122.0,28.67153284671533,6.290919165667624e-29,0.05186224219187944,0.06450608280441385,0.0891472694741704,0.23670556508201746,0.07320899171799755,0.0022754649535866476,0.004935263959003054,0.0062327346219048,0.0072992700729927005,0.028462924770400376,0.0072992700729927,0.0,0.0,0.0,0.0,0.18876958118344878,0.005653176605827223,0.0,0.0,0.0,0.0,0.1864686468646651,0.005618907732245102,False,ai
5,8713072,83,1279,0.37584484278577723,0,34,0.6730076812289967,0.8689307781314792,17,1,1,-0.18276247802177947,-0.1827624780217777,1.6241551572142228,41.3480132900423,39.50594520887095,15.0,18.0,19.0,42.5,81.0,30.819277108433734,0.04627663313198604,0.050850162891267904,0.06317323841227397,0.14404456718005768,0.20002067807143356,0.09751489753801153,0.006773119903895692,0.007874931607107599,0.00804254352217101,0.015554678292649903,0.030003529409851494,0.012048192771084338,0.0,0.0,0.0,0.005275879700646119,0.09412913122297295,0.0075544123222772335,0.0,0.0,0.0,0.005194533537860826,0.09387347185421921,0.007508488843114453,False,ai
6,8766966,73,996,0.3789954337899543,0,23,0.6697261835094096,0.8681273922665721,19,1,1,-0.16928814265750705,-0.16928814265750794,1.6210045662100456,34.49593899660054,32.58722724271298,13.0,18.0,23.0,33.0,72.0,27.28767123287671,0.04877850151657659,0.0757158869650208,0.1006652813444752,0.13774174941744266,0.23301960354195161,0.10760364967973388,0.007842605785838331,0.010162424626337643,0.011396472170142882,0.016086035191012853,0.03371137418190288,0.0136986301369863,0.0,0.0,0.0,0.007158462325105767,0.11681308975966853,0.008485152972175062,0.0,0.0,0.0,0.006972528238739382,0.11644122158693582,0.008515399099238085,False,ai
7,8711296,81,1100,0.3395061728395062,0,23,0.6541347138783533,0.8752743364336228,19,1,1,-0.1764720229278161,-0.17647202292781555,1.6604938271604939,34.96781744849221,32.58030858265757,14.0,20.0,22.0,31.0,80.0,27.160493827160494,0.04502696597805678,0.08430629369318557,0.0892538647756316,0.11008712120388488,0.2476893942075411,0.10271408867041931,0.007665663672468176,0.009444658382723514,0.010271018732165514,0.014190485536960638,0.03359005965156743,0.012345679012345678,0.0,0.0,0.0,0.004346209268814194,0.13359364105423227,0.008132320795981132,0.0,0.0,0.0,0.003927857574489828,0.13331473992468273,0.008162449004420128,False,ai
8,8753671,66,856,0.3990675990675991,0,23,0.6900161650373335,0.886770683116873,9,1,1,-0.1875548000346238,-0.18755480003462352,1.6009324009324009,32.30168632962242,30.93227480973969,15.0,20.0,21.0,29.0,65.0,25.939393939393938,0.06463553527932504,0.08845372056852693,0.0965246893072178,0.14028932375492784,0.2409387104924918,0.1147384989813874,0.009590416940296576,0.012164430282639296,0.012527503735207739,0.01640831229930418,0.035337836585481675,0.015151515151515155,0.0,0.0,0.0,0.0032247943104169474,0.11183935294936848,0.009065343154033277,0.0,0.0,0.0,0.0031318272672337566,0.11400083670337738,0.009174861148086185,False,ai
9,8720643,92,1346,0.3215480172001911,0,28,0.6807731607629428,0.8708546738165398,48,1,1,-0.1141518856816008,-0.11415188568160314,1.6784519827998088,36.459561925975024,34.70722609890595,12.0,20.5,26.0,35.5,68.0,29.26086956521739,0.02995457226539544,0.06755119245270488,0.08072348622979668,0.11130615997074189,0.1970718512274203,0.09486912479278144,0.005941113747758372,0.008093243631589898,0.00964042092654354,0.0135624648668625,0.023630977595606163,0.010869565217391308,0.0,0.0,0.0,0.009081718030958062,0.07081764514479091,0.007389616793889871,0.0,0.0,0.0,0.00821596244131458,0.07158462325105214,0.007338333343438272,False,ai
